Train step=100, Max Q=7.04690408706665, Max target Q=7.399337291717529, Loss = 1.3001484870910645
Train step=200, Max Q=6.957722187042236, Max target Q=7.050468444824219, Loss = 1.079490065574646
Train step=300, Max Q=6.539130210876465, Max target Q=7.495745658874512, Loss = 1.0958398580551147
Train step=400, Max Q=8.99882984161377, Max target Q=7.133934020996094, Loss = 1.0950660705566406
Train step=500, Max Q=7.9029459953308105, Max target Q=7.011621952056885, Loss = 0.8231492638587952
Train step=600, Max Q=6.985723972320557, Max target Q=6.807511329650879, Loss = 0.6586611866950989
Train step=700, Max Q=6.656406402587891, Max target Q=6.945054531097412, Loss = 0.6037726402282715
Train step=800, Max Q=7.112792491912842, Max target Q=7.771418571472168, Loss = 0.5738805532455444
Train step=900, Max Q=6.38705587387085, Max target Q=6.4399542808532715, Loss = 0.62440025806427
Train step=1000, Max Q=7.103064060211182, Max target Q=6.531965732574463, Loss = 0.5519309043884277
Train step=1100, Max Q=7.554264545440674, Max target Q=7.415023326873779, Loss = 0.3746570348739624
Train step=1200, Max Q=6.326356410980225, Max target Q=7.289612770080566, Loss = 0.39619067311286926
Train step=1300, Max Q=7.001829624176025, Max target Q=6.846755027770996, Loss = 0.42169710993766785
Train step=1400, Max Q=7.18338680267334, Max target Q=6.792430877685547, Loss = 0.41183948516845703
Train step=1500, Max Q=6.686996936798096, Max target Q=7.050522804260254, Loss = 0.45841556787490845
Train step=1600, Max Q=6.73250675201416, Max target Q=6.980055332183838, Loss = 0.3800908923149109
Train step=1700, Max Q=7.345147609710693, Max target Q=7.008009433746338, Loss = 0.47115597128868103
Train step=1800, Max Q=6.9043288230896, Max target Q=6.909923076629639, Loss = 0.3488128185272217
Train step=1900, Max Q=6.93450927734375, Max target Q=7.283597946166992, Loss = 0.2989161014556885
Train step=2000, Max Q=7.278019428253174, Max target Q=7.157678604125977, Loss = 0.46205615997314453
Train step=2100, Max Q=7.1476006507873535, Max target Q=7.008635520935059, Loss = 0.31231021881103516
Train step=2200, Max Q=6.9986772537231445, Max target Q=7.909038543701172, Loss = 0.2635050415992737
Train step=2300, Max Q=6.529335021972656, Max target Q=6.870607852935791, Loss = 0.30288732051849365
Train step=2400, Max Q=6.90470027923584, Max target Q=6.950187683105469, Loss = 0.2621416449546814
Train step=2500, Max Q=6.446390151977539, Max target Q=6.798266410827637, Loss = 0.33687418699264526
Train step=2600, Max Q=6.757094860076904, Max target Q=7.077879905700684, Loss = 0.29516637325286865
Train step=2700, Max Q=7.987216472625732, Max target Q=8.319975852966309, Loss = 0.2838308811187744
Train step=2800, Max Q=7.432043552398682, Max target Q=7.270530700683594, Loss = 0.2284483015537262
Train step=2900, Max Q=6.973036766052246, Max target Q=7.222342491149902, Loss = 0.2207079827785492
Train step=3000, Max Q=6.522210121154785, Max target Q=6.797958850860596, Loss = 0.36580589413642883
Train step=3100, Max Q=6.869324684143066, Max target Q=7.107933044433594, Loss = 0.15627869963645935
Train step=3200, Max Q=7.4129319190979, Max target Q=7.360822677612305, Loss = 0.17764458060264587
